0 0 0
-0.00631447 0.20093 0.032
-0.025233 0.401066 0.064
-0.0566808 0.59962 0.096
-0.100534 0.795808 0.128
-0.156619 0.988854 0.16
-0.224715 1.178 0.192
-0.304553 1.36249 0.224
-0.395819 1.54161 0.256
-0.498151 1.71465 0.288
-0.611146 1.88091 0.32
-0.734358 2.03976 0.352
-0.8673 2.19055 0.384
-1.00945 2.3327 0.416
-1.16024 2.46564 0.448
-1.31909 2.58885 0.48
-1.48535 2.70185 0.512
-1.65839 2.80418 0.544
-1.83751 2.89545 0.576
-2.022 2.97528 0.608
-2.21115 3.04338 0.64
-2.40419 3.09947 0.672
-2.60038 3.14332 0.704
-2.79893 3.17477 0.736
-2.99907 3.19369 0.768
-3.2 3.2 0.8
-3.40093 3.19369 0.832
-3.60107 3.17477 0.864
-3.79962 3.14332 0.896
-3.99581 3.09947 0.928
-4.18885 3.04338 0.96
-4.378 2.97528 0.992
-4.56249 2.89545 1.024
-4.74161 2.80418 1.056
-4.91465 2.70185 1.088
-5.08091 2.58885 1.12
-5.23976 2.46564 1.152
-5.39055 2.3327 1.184
-5.5327 2.19055 1.216
-5.66564 2.03976 1.248
-5.78885 1.88091 1.28
-5.90185 1.71465 1.312
-6.00418 1.54161 1.344
-6.09545 1.36249 1.376
-6.17528 1.178 1.408
-6.24338 0.988854 1.44
-6.29947 0.795808 1.472
-6.34332 0.59962 1.504
-6.37477 0.401066 1.536
-6.39369 0.20093 1.568
-6.4 4.65514e-15 1.6
-6.39369 -0.20093 1.632
-6.37477 -0.401066 1.664
-6.34332 -0.59962 1.696
-6.29947 -0.795808 1.728
-6.24338 -0.988854 1.76
-6.17528 -1.178 1.792
-6.09545 -1.36249 1.824
-6.00418 -1.54161 1.856
-5.90185 -1.71465 1.888
-5.78885 -1.88091 1.92
-5.66564 -2.03976 1.952
-5.5327 -2.19055 1.984
-5.39055 -2.3327 2.016
-5.23976 -2.46564 2.048
-5.08091 -2.58885 2.08
-4.91465 -2.70185 2.112
-4.74161 -2.80418 2.144
-4.56249 -2.89545 2.176
-4.378 -2.97528 2.208
-4.18885 -3.04338 2.24
-3.99581 -3.09947 2.272
-3.79962 -3.14332 2.304
-3.60107 -3.17477 2.336
-3.40093 -3.19369 2.368
-3.2 -3.2 2.4
-2.99907 -3.19369 2.432
-2.79893 -3.17477 2.464
-2.60038 -3.14332 2.496
-2.40419 -3.09947 2.528
-2.21115 -3.04338 2.56
-2.022 -2.97528 2.592
-1.83751 -2.89545 2.624
-1.65839 -2.80418 2.656
-1.48535 -2.70185 2.688
-1.31909 -2.58885 2.72
-1.16024 -2.46564 2.752
-1.00945 -2.3327 2.784
-0.8673 -2.19055 2.816
-0.734358 -2.03976 2.848
-0.611146 -1.88091 2.88
-0.498151 -1.71465 2.912
-0.395819 -1.54161 2.944
-0.304553 -1.36249 2.976
-0.224715 -1.178 3.008
-0.156619 -0.988854 3.04
-0.100534 -0.795808 3.072
-0.0566808 -0.59962 3.104
-0.025233 -0.401066 3.136
-0.00631447 -0.20093 3.168
0 -4.05742e-14 3.2
