Time: 5.6 Accelerometer: [-1.26289, 2.19547e-13, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 5.7 Accelerometer: [-1.26289, -1.93845e-13, -2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 5.8 Accelerometer: [-1.26289, 1.4877e-14, 2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 5.9 Accelerometer: [-1.26289, 2.53131e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 6 Accelerometer: [-1.26289, 1.09912e-13, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 6.1 Accelerometer: [-1.26289, -1.95399e-13, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 6.2 Accelerometer: [-1.26289, 5.38458e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 6.3 Accelerometer: [-1.26289, 1.88627e-13, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 6.4 Accelerometer: [-1.26289, -1.50213e-13, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 6.5 Accelerometer: [-1.26289, -4.86278e-14, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 6.6 Accelerometer: [-1.26289, -3.07532e-14, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 6.7 Accelerometer: [-1.26289, 3.4972e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 6.8 Accelerometer: [-1.26289, 3.45279e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 6.9 Accelerometer: [-1.26289, -3.61988e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 7 Accelerometer: [-1.26289, 2.9643e-14, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.1 Accelerometer: [-1.26289, -7.66054e-15, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.2 Accelerometer: [-1.26289, 1.94289e-16, 0] Gyroscope: [0, 0, 0.628319]
Time: 7.3 Accelerometer: [-1.26289, -3.69149e-15, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.4 Accelerometer: [-1.26289, -5.81479e-15, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.5 Accelerometer: [-1.26289, 3.01657e-13, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.6 Accelerometer: [-1.26289, -2.77417e-13, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.7 Accelerometer: [-1.26289, -1.36557e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 7.8 Accelerometer: [-1.26289, -2.57849e-14, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 7.9 Accelerometer: [-1.26289, 4.44089e-14, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 8 Accelerometer: [-1.26289, 8.99281e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 8.1 Accelerometer: [-1.26289, 2.62124e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 8.2 Accelerometer: [-1.26289, -3.01092e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 8.3 Accelerometer: [-1.26289, 8.10463e-15, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 8.4 Accelerometer: [-1.26289, 8.43769e-15, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 8.5 Accelerometer: [-1.26289, -1.44329e-14, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 8.6 Accelerometer: [-1.26289, 2.498e-14, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 8.7 Accelerometer: [-1.26289, -1.82077e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 8.8 Accelerometer: [-1.26289, 2.7256e-13, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 8.9 Accelerometer: [-1.26289, -2.6501e-13, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 9 Accelerometer: [-1.26289, 1.65423e-14, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 9.1 Accelerometer: [-1.26289, -3.76366e-14, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 9.2 Accelerometer: [-1.26289, 2.81997e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 9.3 Accelerometer: [-1.26289, -1.94289e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 9.4 Accelerometer: [-1.26289, -6.88338e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 9.5 Accelerometer: [-1.26289, 2.64677e-13, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 9.6 Accelerometer: [-1.26289, -2.61791e-13, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 9.7 Accelerometer: [-1.26289, -4.05231e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 9.8 Accelerometer: [-1.26289, 5.27356e-16, -4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 9.9 Accelerometer: [-1.26289, -5.38458e-15, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
Time: 10 Accelerometer: [-1.26289, -5.38458e-15, 4.44089e-14] Gyroscope: [0, 0, 0.628319]
