0 0 0
-0.00526206 0.167441 0.0266667
-0.0220799 0.36771 0.0586667
-0.0514395 0.566528 0.0906667
-0.093225 0.76311 0.122667
-0.147272 0.95668 0.154667
-0.213366 1.14647 0.186667
-0.291247 1.33174 0.218667
-0.380608 1.51176 0.250667
-0.481095 1.68581 0.282667
-0.592313 1.8532 0.314667
-0.713822 2.01328 0.346667
-0.845143 2.16542 0.378667
-0.985758 2.30901 0.410667
-1.13511 2.44349 0.442667
-1.29261 2.56832 0.474667
-1.45764 2.68302 0.506667
-1.62955 2.78713 0.538667
-1.80765 2.88024 0.570667
-1.99125 2.96198 0.602667
-2.17962 3.03203 0.634667
-2.37202 3.09012 0.666667
-2.56768 3.13601 0.698667
-2.76584 3.16953 0.730667
-2.96571 3.19053 0.762667
-3.16651 3.19895 0.794667
-3.36744 3.19474 0.826667
-3.56771 3.17792 0.858667
-3.76653 3.14856 0.890667
-3.96311 3.10677 0.922667
-4.15668 3.05273 0.954667
-4.34647 2.98663 0.986667
-4.53174 2.90875 1.01867
-4.71176 2.81939 1.05067
-4.88581 2.7189 1.08267
-5.0532 2.60769 1.11467
-5.21328 2.48618 1.14667
-5.36542 2.35486 1.17867
-5.50901 2.21424 1.21067
-5.64349 2.06489 1.24267
-5.76832 1.90739 1.27467
-5.88302 1.74236 1.30667
-5.98713 1.57045 1.33867
-6.08024 1.39235 1.37067
-6.16198 1.20875 1.40267
-6.23203 1.02038 1.43467
-6.29012 0.827982 1.46667
-6.33601 0.632318 1.49867
-6.36953 0.434159 1.53067
-6.39053 0.234286 1.56267
-6.39895 0.0334883 1.59467
-6.39474 -0.167441 1.62667
-6.37792 -0.36771 1.65867
-6.34856 -0.566528 1.69067
-6.30677 -0.76311 1.72267
-6.25273 -0.95668 1.75467
-6.18663 -1.14647 1.78667
-6.10875 -1.33174 1.81867
-6.01939 -1.51176 1.85067
-5.9189 -1.68581 1.88267
-5.80769 -1.8532 1.91467
-5.68618 -2.01328 1.94667
-5.55486 -2.16542 1.97867
-5.41424 -2.30901 2.01067
-5.26489 -2.44349 2.04267
-5.10739 -2.56832 2.07467
-4.94236 -2.68302 2.10667
-4.77045 -2.78713 2.13867
-4.59235 -2.88024 2.17067
-4.40875 -2.96198 2.20267
-4.22038 -3.03203 2.23467
-4.02798 -3.09012 2.26667
-3.83232 -3.13601 2.29867
-3.63416 -3.16953 2.33067
-3.43429 -3.19053 2.36267
-3.23349 -3.19895 2.39467
-3.03256 -3.19474 2.42667
-2.83229 -3.17792 2.45867
-2.63347 -3.14856 2.49067
-2.43689 -3.10677 2.52267
-2.24332 -3.05273 2.55467
-2.05353 -2.98663 2.58667
-1.86826 -2.90875 2.61867
-1.68824 -2.81939 2.65067
-1.51419 -2.7189 2.68267
-1.3468 -2.60769 2.71467
-1.18672 -2.48618 2.74667
-1.03458 -2.35486 2.77867
-0.890992 -2.21424 2.81067
-0.756515 -2.06489 2.84267
-0.631681 -1.90739 2.87467
-0.516983 -1.74236 2.90667
-0.412874 -1.57045 2.93867
-0.319764 -1.39235 2.97067
-0.238022 -1.20875 3.00267
-0.167968 -1.02038 3.03467
-0.109881 -0.827982 3.06667
-0.0639896 -0.632318 3.09867
-0.0304743 -0.434159 3.13067
-0.00946755 -0.234286 3.16267
-0.00105241 -0.0334883 3.19467
